Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
Sasuke Uchiha,SE,NRSA01-SE-001L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SE,NRSA01-SE-002L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SE,NRSA01-SE-003L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,SE,NRSA01-SE-004L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Yashamaru,SE,NRSA02-SE-001L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,SE,NRSA02-SE-002L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Might Guy,SE,NRSA02-SE-003L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SE,NRSA02-SE-004L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,SP,NRSA01-SP-001L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SP,NRSA01-SP-002L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,SP,NRSA01-SP-003L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SP,NRSA01-SP-004L5,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hinata Hyuga,SP,NRSA02-SP-001L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,SP,NRSA02-SP-002L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,SP,NRSA02-SP-003L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SP,NRSA02-SP-004L5,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,BP,NRSA01-BP-001L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,BP,NRSA01-BP-002L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,BP,NRSA01-BP-003L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,BP,NRSA01-BP-004L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hiruzen Sarutobi,BP,NRSA01-BP-005L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Konohamaru Sarutobi,BP,NRSA01-BP-006L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,BP,NRSA01-BP-007L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hinata Hyuga,BP,NRSA02-BP-001L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Orochimaru,BP,NRSA02-BP-002L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Choji Akimichi,BP,NRSA02-BP-003L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Shikamaru Nara,BP,NRSA02-BP-004L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,BP,NRSA02-BP-005L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kiba Inuzuka,BP,NRSA02-BP-006L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,BP,NRSA02-BP-007L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,AR,NRSA02-AR-001L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,AR,NRSA02-AR-002L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,AR,NRSA02-AR-003L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,AR,NRSA02-AR-004L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Shikamaru Nara,AR,NRSA02-AR-005L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Temari,AR,NRSA02-AR-006L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,AR,NRSA02-AR-007L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,AR,NRSA02-AR-008L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,AR,NRSA02-AR-009L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,AR,NRSA02-AR-010L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,MR,NRSA01-MR-001,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,MR,NRSA01-MR-002,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,MR,NRSA01-MR-003,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
