Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Sasuke Uchiha,SE,NRSA01-SE-001L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SE,NRSA01-SE-002L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Zabuza Momochi,SE,NRSA01-SE-003L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku,SE,NRSA01-SE-004L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Yashamaru,SE,NRSA02-SE-001L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Gaara,SE,NRSA02-SE-002L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Might Guy,SE,NRSA02-SE-003L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,SE,NRSA02-SE-004L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto Uzumaki,SP,NRSA01-SP-001L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sasuke Uchiha,SP,NRSA01-SP-002L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sakura Haruno,SP,NRSA01-SP-003L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi Hatake,SP,NRSA01-SP-004L5,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Hinata Hyuga,SP,NRSA02-SP-001L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Neji Hyuga,SP,NRSA02-SP-002L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Gaara,SP,NRSA02-SP-003L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,SP,NRSA02-SP-004L5,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto Uzumaki,BP,NRSA01-BP-001L4,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sasuke Uchiha,BP,NRSA01-BP-002L4,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
